AAId,AId,BId,RId,SId,Date
15846,312375,null,2,1,5/29/19
15957,827169,null,1,1,6/17/19
16339,642484,null,3,1,5/29/19
16386,229802,null,1,1,5/30/19
16503,228859,null,1,1,5/29/19
16574,795130,null,1,1,5/25/19
16861,521464,null,1,1,5/30/19
17389,8713,null,2,1,4/29/19
17420,760619,null,1,1,6/17/19
17679,326996,null,1,1,5/30/19
17753,24064,null,1,1,6/19/19
18024,120377,null,1,1,4/29/19
18051,248380,null,1,1,5/30/19
18498,591991,null,1,1,5/30/19
18654,758838,null,2,1,5/29/19
18800,540162,null,1,1,6/17/19
18866,168214,null,1,1,5/29/19
18911,184501,null,1,1,6/19/19
18944,628807,null,3,1,4/29/19
18979,702966,null,2,1,4/29/19
19079,562190,null,1,1,4/29/19
19204,746616,null,1,1,4/29/19
19530,772459,null,1,1,4/29/19
19553,774006,null,2,1,6/2/19
19984,770777,null,2,1,6/17/19
20135,148245,null,1,1,5/30/19
20382,795020,null,1,1,6/2/19
20497,827144,null,1,1,6/2/19
20683,826263,null,1,1,6/2/19
20735,642484,null,3,1,5/30/19
20924,230194,null,1,1,5/30/19
21220,777807,null,2,1,6/18/19
21700,233794,null,2,1,6/19/19
22097,181885,null,2,1,6/2/19
22223,759318,null,2,1,6/17/19
22346,159309,null,1,1,6/17/19
22373,764618,null,1,1,4/29/19
22521,158205,null,1,1,5/30/19
23015,24326,null,1,1,6/17/19
23271,794923,null,1,1,6/18/19
23336,794928,null,1,1,6/18/19
23364,749813,null,2,1,6/19/19
23571,542396,null,2,1,6/18/19
24171,230157,null,1,1,6/19/19
24347,843940,null,1,1,5/25/19
24354,738739,null,2,1,5/25/19
24663,749030,null,2,1,6/18/19
25462,232655,null,1,1,5/25/19
25517,229791,null,1,1,6/19/19
25591,226456,null,1,1,6/19/19
26087,827836,null,1,1,5/25/19
26425,757989,null,1,1,5/25/19
26583,826281,null,1,1,5/25/19
26623,569685,null,2,1,5/25/19
26706,647326,null,3,1,5/25/19
26708,562262,null,1,1,5/25/19
26755,222474,null,1,1,6/19/19
27484,156500,null,1,1,6/17/19
27760,615801,null,3,1,6/18/19
27974,579297,null,1,1,6/19/19
28024,826636,null,1,1,5/29/19
28088,854703,null,1,1,5/30/19
28124,854760,null,1,1,5/25/19
28146,764500,null,1,1,5/30/19
28170,87391,null,1,1,4/29/19
28577,827941,null,1,1,5/29/19
28664,794989,null,1,1,6/18/19
28759,620513,null,1,1,6/17/19
28836,579600,null,1,1,6/17/19
29054,242783,null,1,1,5/30/19
29194,500422,null,1,1,6/18/19
29228,410110,null,1,1,6/17/19
29285,662306,null,3,1,4/29/19
29601,16326,null,1,1,6/18/19
29719,825945,null,1,1,4/29/19
29744,597460,null,1,1,5/29/19
29814,87015,null,1,1,5/29/19
29834,854878,null,1,1,4/29/19
29894,540158,null,1,1,5/29/19
29993,844904,null,1,1,6/18/19
30361,572435,null,2,1,4/29/19
30654,600022,null,1,1,6/17/19
30903,826044,null,1,1,5/30/19
30970,825944,null,1,1,5/25/19
31035,579617,null,1,1,6/17/19
31236,731178,null,3,1,6/17/19
31261,592136,null,1,1,6/17/19
31367,764633,null,1,1,5/25/19
31528,605734,null,3,1,6/18/19
31912,620521,null,1,1,6/17/19
31951,228803,null,1,1,6/19/19
31983,47866,null,1,1,5/29/19
32396,827792,null,1,1,4/29/19
32414,827282,null,1,1,4/29/19
32445,827250,null,1,1,5/30/19
32460,372677,null,1,1,6/19/19
32539,568748,null,1,1,5/29/19
32592,348880,null,1,1,6/18/19
32855,335137,null,1,1,6/19/19
33375,827736,null,1,1,5/30/19
33412,607866,null,3,1,5/30/19
33569,235079,null,1,1,6/18/19
33602,715466,null,2,1,5/29/19
33717,317523,null,1,1,5/29/19
33722,54219,null,1,1,5/29/19
33868,452412,null,1,1,5/30/19
34061,579562,null,1,1,6/17/19
34234,827904,null,1,1,5/30/19
34239,827968,null,1,1,5/30/19
34759,659009,null,3,1,5/25/19
35071,592849,null,1,1,5/25/19
35351,854809,null,1,1,4/29/19
35361,794923,null,1,1,4/29/19
35689,760672,null,1,1,5/30/19
35694,760669,null,1,1,5/30/19
35820,18461,null,1,1,5/30/19
35912,827960,null,1,1,5/30/19
35947,826381,null,1,1,6/2/19
35982,781189,null,1,1,5/30/19
36131,562252,null,1,1,5/29/19
36224,592148,null,1,1,6/17/19
36355,759310,null,2,1,4/29/19
36525,7090,null,2,1,6/18/19
36538,760086,null,2,1,5/25/19
37111,614840,null,2,1,5/30/19
37146,690952,null,1,1,5/25/19
37251,562393,null,1,1,6/17/19
37263,764638,null,1,1,4/29/19
37307,562446,null,1,1,6/17/19
37489,826639,null,1,1,5/30/19
38153,374013,null,2,1,6/19/19
38220,13119,null,1,1,5/25/19
38311,591891,null,1,1,6/18/19
38395,592305,null,1,1,5/25/19
38422,150305,null,1,1,4/29/19
38723,620696,null,1,1,6/17/19
38758,63657,null,1,1,6/18/19
38868,583535,null,1,1,6/17/19
39285,726071,null,1,1,6/19/19
39432,792295,null,1,1,6/19/19
40011,826363,null,1,1,4/29/19
40107,592936,null,1,1,5/25/19
40335,385695,null,1,1,5/30/19
40383,826625,null,1,1,5/25/19
40386,795131,null,1,1,5/25/19
40515,826452,null,1,1,5/25/19
40574,578396,null,1,1,5/25/19
40653,252816,null,1,1,5/30/19
41409,578570,null,1,1,6/17/19
41575,615285,null,2,1,5/30/19
41751,825960,null,1,1,6/19/19
41890,558127,null,1,1,5/25/19
41946,794954,null,1,1,6/19/19
41988,583619,null,1,1,6/17/19
42373,854336,null,1,1,5/25/19
42468,758920,null,2,1,4/29/19
42635,554587,null,2,1,6/2/19
42834,578535,null,1,1,6/17/19
43103,589474,null,1,1,6/17/19
43302,578391,null,1,1,5/30/19
43527,402248,null,1,1,5/30/19
43688,699888,null,2,1,5/29/19
43714,593790,null,1,1,6/17/19
43852,760677,null,1,1,6/19/19
43935,125419,null,1,1,5/29/19
44022,764626,null,1,1,4/29/19
44358,826442,null,1,1,4/29/19
44437,361110,null,1,1,5/30/19
44596,579669,null,1,1,4/29/19
44822,615290,null,2,1,4/29/19
44906,6669,null,1,1,6/18/19
45011,619375,null,1,1,4/29/19
45307,578488,null,1,1,5/29/19
45341,856321,null,1,1,6/17/19
45615,592957,null,1,1,6/17/19
46266,578590,null,1,1,6/18/19
46465,554577,null,2,1,5/25/19
46521,722788,null,2,1,6/17/19
46943,578398,null,1,1,5/30/19
46952,591808,null,1,1,5/30/19
46994,592267,null,1,1,4/29/19
47084,591869,null,1,1,5/29/19
47217,533414,null,1,1,5/25/19
47283,827960,null,1,1,6/18/19
47501,620807,null,1,1,6/17/19
47711,807392,null,1,1,4/29/19
48254,159310,null,1,1,6/2/19
48398,764585,null,1,1,6/19/19
48510,585993,null,1,1,4/29/19
48875,589362,null,1,1,5/25/19
49308,826456,null,1,1,4/29/19
49331,854358,null,1,1,6/17/19
49717,827904,null,1,1,6/19/19
49855,578471,null,1,1,4/29/19
50223,7581,null,2,1,6/17/19
50348,823224,null,1,1,6/18/19
50353,775759,null,2,1,4/29/19
51123,592066,null,1,1,5/29/19
51393,562469,null,1,1,5/25/19
51415,246181,null,1,1,6/2/19
51595,592098,null,1,1,4/29/19
51607,555649,null,1,1,4/29/19
52697,592110,null,1,1,5/29/19
53191,764577,null,1,1,6/2/19
53565,585791,null,1,1,5/29/19
53634,592147,null,1,1,5/30/19
53691,242416,null,1,1,6/18/19
53963,826635,null,1,1,5/29/19
54190,579628,null,1,1,4/29/19
54264,737239,null,3,1,5/25/19
55155,826325,null,1,1,6/2/19
55265,795103,null,1,1,5/29/19
55283,862355,null,1,1,6/17/19
55869,756524,null,2,1,6/17/19
56054,562475,null,1,1,5/29/19
56110,25850,null,1,1,6/2/19
56640,620598,null,1,1,5/29/19
56680,586633,null,1,1,6/17/19
56741,635917,null,1,1,6/19/19
56987,827218,null,1,1,6/19/19
57020,632910,null,3,1,6/17/19
57039,854852,null,1,1,6/19/19
57178,854886,null,1,1,6/19/19
57201,755340,null,2,1,6/19/19
57370,618769,null,2,1,5/30/19
57380,534237,null,1,1,5/30/19
57693,47868,null,1,1,5/30/19
57984,24531,null,2,1,6/17/19
58061,583553,null,1,1,5/25/19
58305,620784,null,1,1,5/25/19
58665,148952,null,2,1,6/19/19
58797,549429,null,3,1,6/17/19
58835,503744,null,1,1,6/18/19
59355,151270,null,1,1,6/19/19
59384,562104,null,1,1,5/25/19
59990,583571,null,1,1,5/25/19
60769,754834,null,2,1,6/18/19
61051,769627,null,2,1,6/2/19
61793,390014,null,1,1,5/25/19
62015,452542,null,2,1,5/25/19
62680,593040,null,1,1,6/2/19
62985,261247,null,2,1,6/18/19
63087,8410,null,1,1,6/19/19
63106,589264,null,1,1,6/19/19
63155,755161,null,2,1,4/29/19
63271,546029,null,3,1,6/17/19
63574,114193,null,1,1,6/17/19
63645,795019,null,1,1,6/19/19
63964,617105,null,3,1,6/19/19
64121,562281,null,1,1,6/19/19
64423,700487,null,2,1,6/2/19
64519,578517,null,1,1,5/30/19
64590,589417,null,1,1,5/30/19
64628,46202,null,2,1,5/25/19
64822,141205,null,1,1,6/17/19
64859,591834,null,1,1,6/19/19
65220,493372,null,1,1,4/29/19
65241,362750,null,2,1,6/19/19
65251,507597,null,1,1,5/25/19
65408,546051,null,3,1,5/25/19
65478,562273,null,1,1,6/19/19
65867,25716,null,1,1,4/29/19
66010,730904,null,2,1,6/17/19
66166,546037,null,3,1,6/17/19
66176,525758,null,1,1,5/29/19
67089,12178,null,2,1,4/29/19
67294,562380,null,1,1,5/30/19
67376,503846,null,1,1,5/25/19
67492,726418,null,2,1,4/29/19
67753,44061,null,2,1,4/29/19
67782,170199,null,1,1,5/25/19
67861,13476,null,1,1,6/19/19
68090,578542,null,1,1,4/29/19
68098,188479,null,1,1,4/29/19
68135,218202,null,1,1,4/29/19
68202,589286,null,1,1,6/19/19
68579,592028,null,3,1,4/29/19
68610,755159,null,2,1,5/25/19
69042,333422,null,2,1,5/25/19
69048,593793,null,1,1,5/25/19
69352,562511,null,1,1,4/29/19
69454,407567,null,1,1,6/2/19
69478,112254,null,1,1,6/17/19
69637,120639,null,1,1,6/17/19
70097,198885,null,1,1,4/29/19
70355,526345,null,1,1,6/2/19
70863,860851,null,1,1,4/29/19
71510,578541,null,1,1,6/19/19
71527,749879,null,1,1,6/19/19
71995,677751,null,2,1,4/29/19
72578,7817,null,2,1,6/18/19
72702,592278,null,1,1,6/19/19
72758,23982,null,2,1,4/29/19
72820,506970,null,1,1,6/18/19
73048,144137,null,1,1,5/25/19
73091,620564,null,1,1,5/30/19
73305,592116,null,1,1,6/2/19
73470,205291,null,1,1,4/29/19
73683,192175,null,1,1,4/29/19
73933,48988,null,2,1,5/25/19
74058,239532,null,1,1,6/2/19
74166,592889,null,1,1,5/25/19
74251,139527,null,1,1,4/29/19
74281,197382,null,1,1,4/29/19
74757,390016,null,1,1,6/2/19
74775,111839,null,1,1,6/17/19
74820,570877,null,3,1,6/2/19
74836,112079,null,1,1,6/17/19
74852,585858,null,1,1,6/19/19
74904,188326,null,1,1,4/29/19
75039,132518,null,1,1,6/19/19
75120,139525,null,1,1,4/29/19
75122,134049,null,1,1,4/29/19
75149,169848,null,1,1,6/18/19
75294,748233,null,1,1,6/19/19
75509,141215,null,1,1,5/25/19
75614,112511,null,1,1,6/17/19
75705,205628,null,1,1,4/29/19
76110,548756,null,3,1,5/25/19
76143,187636,null,1,1,4/29/19
76493,114874,null,1,1,6/17/19
76756,31458,null,1,1,5/30/19
76885,721035,null,2,1,5/25/19
77234,118125,null,1,1,5/25/19
77422,545459,null,3,1,5/25/19
77803,197510,null,1,1,4/29/19
78064,579614,null,1,1,6/19/19
78113,826325,null,1,1,5/29/19
78120,547197,null,1,1,6/19/19
78400,592123,null,1,1,6/19/19
78440,548805,null,3,1,4/29/19
78478,620705,null,1,1,6/19/19
79220,585861,null,1,1,6/19/19
79361,117879,null,1,1,5/25/19
80006,592193,null,1,1,6/19/19
80033,691309,null,2,1,5/25/19
80332,593044,null,1,1,6/18/19
80451,697069,null,2,1,6/2/19
80579,312162,null,1,1,4/29/19
81349,754955,null,1,1,6/17/19
81410,827250,null,1,1,5/29/19
81501,230208,null,1,1,6/2/19
81734,562434,null,1,1,5/29/19
81900,689693,null,2,1,6/17/19
82529,111803,null,1,1,6/17/19
82582,683486,null,1,1,6/19/19
82672,469345,null,1,1,6/18/19
82730,564011,null,1,1,5/25/19
82794,555522,null,2,1,5/25/19
83242,120669,null,1,1,5/25/19
83250,708151,null,1,1,5/25/19
83693,618405,null,1,1,6/17/19
83861,578609,null,1,1,6/19/19
84018,188806,null,1,1,4/29/19
84812,609516,null,1,1,5/25/19
85100,851492,null,1,1,6/18/19
85253,141965,null,2,1,6/17/19
85321,183723,null,2,1,6/17/19
85332,545384,null,3,1,5/29/19
85349,733918,null,2,1,6/17/19
85749,113957,null,1,1,6/17/19
86082,134750,null,1,1,4/29/19
86927,592986,null,1,1,5/30/19
87120,111818,null,1,1,5/25/19
87338,282583,null,1,1,4/29/19
87462,523691,null,1,1,6/18/19
87616,773110,null,1,1,5/29/19
87656,583558,null,1,1,6/18/19
87724,113991,null,1,1,6/17/19
87905,546042,null,3,1,5/29/19
88599,485845,null,1,1,5/30/19
88666,544396,null,3,1,5/25/19
88674,835738,null,1,1,6/17/19
89056,562512,null,1,1,5/30/19
89385,851492,null,1,1,5/30/19
89476,17598,null,2,1,5/25/19
89537,545981,null,3,1,5/30/19
89574,589552,null,1,1,5/30/19
89844,586050,null,1,1,5/30/19
89863,856349,null,1,1,5/25/19
89874,670298,null,1,1,5/25/19
89878,120753,null,1,1,5/25/19
90019,695560,null,2,1,6/2/19
90228,612389,null,3,1,6/17/19
90461,856314,null,1,1,5/29/19
90550,620513,null,1,1,6/19/19
90817,480661,null,1,1,6/19/19
91141,849850,null,1,1,5/29/19
91299,168182,null,1,1,5/29/19
91367,21726,null,1,1,5/29/19
91446,612373,null,3,1,6/17/19
91784,681979,null,1,1,6/2/19
91785,767207,null,2,1,6/2/19
91937,528036,null,1,1,6/17/19
92080,66328,null,2,1,6/2/19
92182,19250,null,2,1,5/30/19
92188,545407,null,3,1,5/30/19
92235,547031,null,1,1,6/2/19
92317,740126,null,1,1,5/25/19
92644,112068,null,1,1,4/29/19
92834,854345,null,1,1,5/30/19
92959,29515,null,0,1,4/29/19
93319,485662,null,1,1,5/30/19
93341,756414,null,2,1,5/29/19
93407,734530,null,1,1,6/17/19
93486,141197,null,1,1,5/30/19
93948,120555,null,1,1,5/29/19
94265,27333,null,2,1,5/30/19
94377,391262,null,1,1,5/29/19
94695,111611,null,1,1,6/2/19
94819,376083,null,1,1,5/29/19
94851,141345,null,1,1,4/29/19
94950,773955,null,2,1,6/17/19
95080,546056,null,3,1,5/29/19
95476,605439,null,3,1,6/17/19
95715,856350,null,1,1,6/18/19
95940,620787,null,1,1,6/19/19
95994,26844,null,2,1,4/29/19
96044,188072,null,1,1,4/29/19
96224,592818,null,1,1,6/19/19
96261,531698,null,1,1,6/17/19
96393,190290,null,2,1,4/29/19
96469,113939,null,1,1,5/30/19
96488,258948,null,1,1,5/30/19
96853,114268,null,1,1,5/30/19
97004,696558,null,1,1,6/19/19
97092,306436,null,2,1,6/17/19
97186,585853,null,1,1,6/19/19
97218,125421,null,1,1,5/29/19
97413,585803,null,1,1,6/18/19
97419,592823,null,1,1,6/18/19
97564,114859,null,1,1,5/30/19
98143,700832,null,1,1,4/29/19
99168,691695,null,2,1,5/25/19
99239,117811,null,1,1,6/18/19
99454,113788,null,1,1,6/18/19
99621,57663,null,2,1,6/18/19
99786,564192,null,1,1,6/17/19
99817,615658,null,1,1,5/25/19
99861,568113,null,1,1,4/29/19
100170,620844,null,1,1,5/25/19
100274,713192,null,2,1,4/29/19
100446,578652,null,1,1,6/18/19
100800,399494,null,2,1,6/2/19
100884,544404,null,3,1,5/25/19
100986,746504,null,1,1,5/29/19
101055,466158,null,2,1,4/29/19
101094,564221,null,1,1,6/17/19
101475,629164,null,3,1,6/2/19
101627,639058,null,1,1,5/25/19
101775,117915,null,1,1,5/30/19
102119,479602,null,1,1,6/17/19
102524,563206,null,3,1,5/30/19
102594,318293,null,2,1,5/30/19
102793,117754,null,1,1,6/18/19
102798,387205,null,1,1,6/18/19
102960,361820,null,1,1,5/25/19
103011,66979,null,2,1,5/25/19
103357,141986,null,2,1,5/30/19
103747,755162,null,2,1,6/19/19
103902,449170,null,1,1,5/25/19
104053,848866,null,1,1,5/25/19
104064,349644,null,2,1,5/29/19
104508,562379,null,1,1,6/2/19
104656,742797,null,3,1,5/25/19
104688,624497,null,2,1,5/29/19
104880,363233,null,2,1,5/29/19
105153,711568,null,2,1,5/25/19
105536,627128,null,1,1,6/2/19
105665,592932,null,1,1,6/19/19
105796,141212,null,1,1,6/18/19
106535,759317,null,2,1,5/29/19
106544,583915,null,1,1,5/25/19
106724,862350,null,1,1,6/19/19
106783,586399,null,2,1,6/19/19
107032,558565,null,1,1,5/25/19
107536,113777,null,1,1,5/29/19
108221,113853,null,1,1,5/29/19
108460,519415,null,1,1,5/25/19
108560,161098,null,2,1,5/30/19
108806,555657,null,1,1,5/30/19
109050,143493,null,2,1,6/2/19
109068,578526,null,1,1,6/2/19
109172,120525,null,1,1,5/25/19
109608,628716,null,1,1,6/2/19
109613,578598,null,1,1,6/2/19
109622,579434,null,3,1,6/2/19
109800,384735,null,1,1,5/30/19
109909,38123,null,2,1,5/30/19
110081,583542,null,1,1,4/29/19
110682,621001,null,1,1,4/29/19
110904,380638,null,1,1,5/25/19
111300,534542,null,1,1,6/2/19
111381,511483,null,1,1,5/25/19
111515,141261,null,1,1,5/30/19
112020,564110,null,1,1,4/29/19
112971,40400,null,1,1,5/25/19
113000,564100,null,1,1,4/29/19
113652,44062,null,2,1,6/19/19
114206,698259,null,2,1,5/25/19
114503,740067,null,1,1,5/30/19
114851,141396,null,1,1,5/25/19
115528,578701,null,1,1,6/2/19
115602,120559,null,1,1,4/29/19
115741,860861,null,1,1,6/2/19
116259,112483,null,1,1,5/30/19
116312,142046,null,2,1,5/29/19
117437,120913,null,1,1,4/29/19
117500,165818,null,2,1,6/17/19
117987,282560,null,1,1,4/29/19
117994,579012,null,1,1,4/29/19
118185,120622,null,1,1,4/29/19
118989,584457,null,2,1,6/18/19
119432,120792,null,1,1,5/30/19
119517,116819,null,1,1,4/29/19
119813,564204,null,1,1,6/2/19
120706,120573,null,1,1,5/29/19
120861,120615,null,1,1,6/18/19
120899,586269,null,1,1,5/30/19
120988,546035,null,3,1,5/30/19
121749,594359,null,1,1,6/17/19
121763,588338,null,1,1,6/17/19
121854,593981,null,1,1,5/25/19
122128,531717,null,1,1,5/30/19
122334,862338,null,1,1,6/18/19
122484,114848,null,1,1,6/2/19
122555,588269,null,1,1,6/2/19
124411,166335,null,1,1,5/29/19
124647,862332,null,1,1,6/18/19
124743,854361,null,1,1,6/18/19
124798,577315,null,1,1,6/19/19
124861,579318,null,1,1,4/29/19
124967,588083,null,1,1,6/17/19
125052,24002,null,2,1,4/29/19
125502,141207,null,1,1,6/19/19
126191,174162,null,1,1,6/19/19
126365,113794,null,1,1,6/19/19
126373,114938,null,1,1,6/18/19
127109,585848,null,1,1,5/29/19
127147,851522,null,1,1,6/19/19
127444,144237,null,1,1,5/29/19
128131,687133,null,1,1,5/30/19
128367,594112,null,1,1,5/25/19
128389,183727,null,2,1,5/29/19
128589,117199,null,1,1,5/29/19
128935,114302,null,1,1,5/30/19
129153,446139,null,2,1,6/17/19
129345,31605,null,1,1,6/18/19
129791,533263,null,1,1,6/17/19
130003,578640,null,1,1,5/29/19
130062,583567,null,1,1,5/29/19
130544,620714,null,1,1,5/29/19
130557,166637,null,1,1,5/29/19
130995,122727,null,1,1,4/29/19
131213,115000,null,1,1,6/18/19
131811,680979,null,2,1,6/19/19
131931,806024,null,1,1,6/17/19
132171,120478,null,1,1,6/19/19
132318,592989,null,1,1,5/29/19
132406,139584,null,2,1,5/30/19
133018,583640,null,1,1,6/2/19
133153,617812,null,3,1,6/18/19
133160,12183,null,2,1,6/18/19
133189,568880,null,1,1,5/25/19
133524,114260,null,1,1,6/19/19
133577,294955,null,2,1,6/2/19
133590,705259,null,2,1,6/18/19
133730,475097,null,1,1,6/18/19
133948,589271,null,1,1,6/2/19
134138,621215,null,1,1,6/17/19
134205,141150,null,1,1,6/17/19
134607,74277,null,1,1,4/29/19
134748,669242,null,2,1,5/30/19
134924,756910,null,2,1,6/18/19
135000,594433,null,1,1,6/2/19
135027,749988,null,1,1,5/30/19
135267,27332,null,2,1,6/18/19
135423,730888,null,1,1,6/18/19
135533,120665,null,1,1,5/30/19
135867,675118,null,2,1,6/18/19
135965,593908,null,1,1,5/25/19
135976,141986,null,2,1,4/29/19
136625,111743,null,1,1,6/19/19
136631,114890,null,1,1,6/19/19
136924,363499,null,2,1,5/29/19
137055,821345,null,1,1,5/29/19
137124,711594,null,2,1,6/18/19
137193,677845,null,1,1,5/29/19
137377,122427,null,1,1,6/17/19
137501,589912,null,1,1,5/25/19
137793,543644,null,3,1,6/18/19
138920,552837,null,3,1,5/29/19
139024,141959,null,2,1,6/2/19
139128,483695,null,2,1,6/2/19
139335,121705,null,1,1,5/25/19
139379,701563,null,1,1,6/2/19
139469,594308,null,1,1,5/25/19
139535,494078,null,1,1,4/29/19
139747,119248,null,1,1,6/17/19
139830,740079,null,1,1,6/18/19
140021,197118,null,1,1,4/29/19
140081,380607,null,1,1,5/25/19
140266,697557,null,2,1,6/2/19
140541,621176,null,1,1,6/17/19
141299,545393,null,3,1,6/18/19
141422,119453,null,1,1,4/29/19
141449,122498,null,1,1,5/25/19
141533,112367,null,1,1,6/19/19
141737,380656,null,1,1,5/29/19
141952,119939,null,1,1,5/25/19
142084,500923,null,1,1,5/29/19
142545,579207,null,1,1,5/25/19
143032,116298,null,1,1,6/17/19
143153,548742,null,3,1,6/18/19
143432,380674,null,1,1,5/25/19
143737,112563,null,1,1,6/17/19
143778,377015,null,2,1,5/29/19
143989,121614,null,1,1,4/29/19
143991,119292,null,1,1,4/29/19
144414,122876,null,1,1,6/17/19
144475,111593,null,1,1,6/18/19
144522,122781,null,1,1,6/17/19
144664,720167,null,2,1,6/17/19
144685,120929,null,1,1,6/17/19
144907,151787,null,1,1,6/19/19
144991,750002,null,1,1,6/2/19
145007,122598,null,1,1,4/29/19
145011,122390,null,1,1,6/17/19
145038,594824,null,2,1,5/29/19
145095,167233,null,1,1,6/2/19
145123,117322,null,1,1,6/17/19
145203,574994,null,1,1,4/29/19
145210,125996,null,1,1,4/29/19
145504,251235,null,1,1,5/29/19
146029,207186,null,3,1,6/18/19
146036,571616,null,1,1,5/29/19
146224,614775,null,2,1,6/2/19
146411,125021,null,1,1,4/29/19
146464,620835,null,1,1,5/29/19
146581,114996,null,1,1,6/19/19
146988,116735,null,1,1,6/17/19
147280,586074,null,1,1,5/30/19
147524,74831,null,1,1,6/2/19
147711,705704,null,2,1,5/29/19
147891,687061,null,2,1,4/29/19
147958,66270,null,1,1,6/2/19
147961,611530,null,2,1,6/2/19
148053,586076,null,1,1,5/30/19
148267,117755,null,1,1,6/18/19
148324,372076,null,1,1,5/29/19
149177,117455,null,1,1,6/17/19
149465,125695,null,1,1,4/29/19
149688,588418,null,1,1,5/25/19
149761,30982,null,2,1,5/29/19
149764,143493,null,2,1,5/29/19
149785,274792,null,1,1,6/17/19
150051,586264,null,1,1,5/29/19
150087,597527,null,1,1,4/29/19
150174,199566,null,1,1,4/29/19
150181,125092,null,1,1,4/29/19
150300,240179,null,1,1,6/17/19
150375,93390,null,1,1,6/17/19
150383,116124,null,1,1,6/17/19
150604,784639,null,1,1,6/18/19
150822,585807,null,1,1,6/2/19
150843,19037,null,2,1,6/2/19
150956,479472,null,1,1,6/18/19
151871,773955,null,2,1,4/29/19
151960,383052,null,1,1,6/18/19
152004,615856,null,1,1,4/29/19
152600,617114,null,3,1,6/17/19
152882,112659,null,1,1,5/25/19
153236,248349,null,1,1,5/29/19
153409,120631,null,1,1,6/18/19
153555,181355,null,2,1,5/30/19
153937,118144,null,1,1,6/19/19
154033,319774,null,2,1,4/29/19
154034,346869,null,2,1,4/29/19
154077,23774,null,2,1,5/29/19
154202,197659,null,1,1,4/29/19
154452,589574,null,1,1,6/2/19
154464,408421,null,2,1,6/2/19
155042,714909,null,1,1,5/25/19
155251,586084,null,1,1,5/25/19
155255,597283,null,1,1,5/25/19
155350,558538,null,1,1,5/30/19
155430,579237,null,1,1,5/29/19
155510,583904,null,1,1,6/2/19
155628,593261,null,1,1,6/2/19
155959,592993,null,1,1,6/2/19
156017,776558,null,2,1,6/18/19
156156,112825,null,1,1,5/25/19
